id,flightNumber,airline,origin,destination,dayOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
0,425,Goair,DELHI,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:45:00,21:55:00,2018-10-28,2019-03-30
1,423,Goair,DELHI,HYDERABAD,Saturday,07:30:00,21:55:00,2018-10-28,2018-10-28
2,423,Goair,DELHI,HYDERABAD,Friday,07:30:00,21:55:00,2018-11-03,2018-12-01
3,423,Goair,DELHI,HYDERABAD,Friday,07:30:00,21:55:00,2019-02-02,2019-03-30
4,423,Goair,DELHI,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",07:30:00,21:55:00,2018-10-29,2018-11-30
5,423,Goair,DELHI,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",07:30:00,21:55:00,2019-02-01,2019-03-29
6,423,Goair,DELHI,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:30:00,21:55:00,2018-12-02,2019-01-31
7,422,Goair,DELHI,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:55:00,21:55:00,2018-10-28,2019-03-30
8,559,Goair,LUCKNOW,HYDERABAD,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:45:00,17:45:00,2018-10-28,2019-03-30
9,580,Goair,KOCHI,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:45:00,06:15:00,2018-10-28,2019-03-30
10,587,Goair,KOCHI,HYDERABAD,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:20:00,19:20:00,2018-10-28,2019-03-30
11,587,Goair,KOCHI,HYDERABAD,Monday,17:50:00,19:20:00,2018-10-28,2019-03-30
12,553,Goair,AHMEDABAD,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:05:00,12:45:00,2018-10-29,2019-03-30
13,552,Goair,AHMEDABAD,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:35:00,22:20:00,2018-10-28,2019-03-30
14,553,Goair,AHMEDABAD,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:00:00,12:45:00,2019-04-01,2019-10-26
15,552,Goair,AHMEDABAD,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:40:00,22:20:00,2019-03-31,2019-10-26
16,701,Goair,JAIPUR,HYDERABAD,Saturday,08:55:00,10:55:00,2018-10-28,2019-03-24
17,431,Goair,JAIPUR,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:45:00,15:05:00,2018-10-28,2019-03-30
18,385,Goair,JAIPUR,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:55:00,21:55:00,2018-10-28,2019-03-30
19,894,Goair,BENGALURU,HYDERABAD,Saturday,11:30:00,12:40:00,2018-10-28,2019-03-24
20,294,Goair,BENGALURU,HYDERABAD,Saturday,18:55:00,21:55:00,2018-10-28,2019-03-24
21,294,Goair,BENGALURU,HYDERABAD,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",18:55:00,21:55:00,2018-10-29,2019-03-30
22,894,Goair,BENGALURU,HYDERABAD,Saturday,11:40:00,21:55:00,2019-03-31,2019-10-20
